datum;typ;kalla;tjanst/prisrad;pris;enhet;moms_rut;url;notering
2026-08-27;konkurrent;Installexpress;Skrivarinstallation;600;kr;efter RUT;https://installexpress.se/;Fast pris.
2026-08-27;butik/verkstad;Inet;Felsokning;599;kr;inkl. moms;https://www.inet.se/info/168/service-reparation;Butiks-/verkstadspris.
2026-08-27;butik/verkstad;Inet;Windows-installation;599;kr;inkl. moms;https://www.inet.se/info/168/service-reparation;Butiks-/verkstadspris.
2026-08-27;butik/verkstad;Inet;Enkel komponent/programvara;299;kr;inkl. moms;https://www.inet.se/info/168/service-reparation;Butiks-/verkstadspris.
2026-08-27;butik/verkstad;Inet;Avancerad komponentinstallation;699;kr;inkl. moms;https://www.inet.se/info/168/service-reparation;Butiks-/verkstadspris.
2026-08-27;butik/verkstad;Inet;Rengoring stationar dator;199;kr;inkl. moms;https://www.inet.se/info/168/service-reparation;Butiks-/verkstadspris.
2026-08-27;butik/verkstad;Inet;Rengoring laptop;349;kr;inkl. moms;https://www.inet.se/info/168/service-reparation;Butiks-/verkstadspris.
2026-08-27;butik/verkstad;Inet;Backup;399;kr;inkl. moms;https://www.inet.se/info/168/service-reparation;Butiks-/verkstadspris.
2026-08-27;butik/verkstad;Inet;Specialarbete;699;kr/timme;inkl. moms;https://www.inet.se/info/168/service-reparation;Butiks-/verkstadspris.
2026-08-27;butik/verkstad;Inet;Klar for start;599;kr;inkl. moms;https://www.inet.se/info/168/service-reparation;Tillagg e-post 399, filoverforing 399, skrivare 199 enligt sidan.
2026-08-27;butik/verkstad;Hevtech;Windows-setup;795;kr;inkl. moms antaget;https://hevtech.se/;Konsumentsida, verifiera moms innan publicering.
2026-08-27;butik/verkstad;Hevtech;Komplett PC-bygge standard;995;kr;inkl. moms antaget;https://hevtech.se/;Konsumentsida, verifiera moms innan publicering.
2026-08-27;butik/verkstad;Hevtech;Komplett PC-bygge avancerat;1495;kr;inkl. moms antaget;https://hevtech.se/;Konsumentsida, verifiera moms innan publicering.
2026-08-27;butik/verkstad;Hevtech;Komponentinstallation;695;kr;inkl. moms antaget;https://hevtech.se/;Konsumentsida, verifiera moms innan publicering.
2026-08-27;butik/verkstad;Hevtech;Avancerad felsokning;695;kr;inkl. moms antaget;https://hevtech.se/;Konsumentsida, verifiera moms innan publicering.
2026-08-27;butik/verkstad;Hevtech;Filoverforing/backup;695;kr;inkl. moms antaget;https://hevtech.se/;Konsumentsida, verifiera moms innan publicering.
2026-08-27;butik/verkstad;DataOne;Komplett diagnostik;690;kr;inkl. moms antaget;https://dataone.se/pages/har-du-problem-med-din-dator;Dras av om reparation gar vidare enligt sidan.
2026-08-27;butik/verkstad;PCbutiken Bromma;Windows ominstallation inkl. drivrutiner och backup;600;kr;inkl. moms;https://dataservice.pcbutiken.se/kostar.html;Lokalt verkstadspris.
2026-08-27;butik/verkstad;PCbutiken Bromma;Full backup;500;kr;inkl. moms;https://dataservice.pcbutiken.se/kostar.html;Lokalt verkstadspris.
2026-08-27;konkurrent;IT247/Datorreparation;Privat datorservice timpris;699;kr/timme;inkl. moms efter RUT;https://datorreparation.se/pris/;Hembesok/privat enligt prislista.
2026-08-27;konkurrent;IT247/Datorreparation;Foretag onsite;1195;kr/timme;exkl. moms;https://datorreparation.se/pris/;Foretagspris enligt prislista.
2026-08-27;konkurrent;IT247/Datorreparation;Foretag onsite minimi;1280;kr/timme;exkl. moms;https://datorreparation.se/services/datorservice/;Minst 2 timmar enligt serviceinfo.
2026-08-27;konkurrent;IT247/Datorreparation;Felsokning standard;599;kr;inkl. moms antaget;https://datorreparation.se/services/datorservice/;Pris varierar 599/899/1199 efter prioritet.
2026-08-27;konkurrent;IT247/Datorreparation;Privat fast datorservice;1299;kr;inkl. moms antaget;https://datorreparation.se/services/datorservice/;Express 1899 kr.
2026-08-27;konkurrent;IT247/Datorreparation;Laptop skarm/batteri;1495;kr;fran, inkl. moms antaget;https://datorreparation.se/services/datorservice/;Reservdelar kan tillkomma.
2026-08-27;konkurrent;TeknikFix;Felsokning laptop;595;kr;inkl. moms antaget;https://teknikfix.se/service-reparation/datorreparation/?mode=private;Privatlage.
2026-08-27;konkurrent;TeknikFix;Felsokning stationar dator;995;kr;inkl. moms antaget;https://teknikfix.se/service-reparation/datorreparation/?mode=private;Privatlage.
2026-08-27;konkurrent;Elgiganten;Filoverforing;849;kr;inkl. moms antaget;https://www.elgiganten.se/tjanster-tillbehor/tjanster/hemtekniker/hemtekniker-tjanster-for-dator;Retail/hemtekniker-pris.
2026-08-27;avtal;Telia;IT-support foretag;169;kr/anvandare/manad;fran, exkl. moms antaget;https://www.telia.se/foretag/it/it-support;36 manaders bindning enligt sidan.
2026-08-27;avtal;Adminor;IT-support Basic;690;kr/enhet/manad;exkl. moms antaget;https://adminor.net/it-support/;Supportavtal.
2026-08-27;avtal;Datakraft IT;Ad hoc IT-timme;1250;kr/timme;exkl. moms antaget;https://www.datakraftit.se/wp-content/uploads/2025/04/priser-avtal.pdf;PDF prislista 2025.
2026-08-27;avtal;Datakraft IT;IT-drift enhet;500;kr/enhet/manad;exkl. moms antaget;https://www.datakraftit.se/wp-content/uploads/2025/04/priser-avtal.pdf;PDF prislista 2025.
2026-08-27;avtal;Datakraft IT;IT-drift anvandare;999;kr/anvandare/manad;exkl. moms antaget;https://www.datakraftit.se/wp-content/uploads/2025/04/priser-avtal.pdf;PDF prislista 2025.
2026-08-27;leverantor;IT Foretaget;Microsoft 365 backup;39;kr/post/manad;exkl. moms antaget;https://itforetaget.se/;Leverantorssignal for backupkostnad, ej Nova-pris.
2026-08-27;leverantor;IT Foretaget;Klientbackup;49;kr/enhet/manad;exkl. moms antaget;https://itforetaget.se/;Leverantorssignal for backupkostnad, ej Nova-pris.
2026-08-27;leverantor;IT Foretaget;EDR klient;79;kr/enhet/manad;exkl. moms antaget;https://itforetaget.se/;Leverantorssignal for sakerhet, ej Nova-pris.
2026-08-27;leverantor;IT Foretaget;Klienthantering;69;kr/enhet/manad;exkl. moms antaget;https://itforetaget.se/;Leverantorssignal for managed service, ej Nova-pris.
2026-08-27;leverantor;Update;Workstation backup 60 dagar;185;kr/manad;exkl. moms antaget;https://www.update.se/sakerhetskopiering-backup;Leverantorssignal.
2026-08-27;leverantor;Update;Workstation backup 90 dagar;330;kr/manad;exkl. moms antaget;https://www.update.se/sakerhetskopiering-backup;Leverantorssignal.
2026-08-27;leverantor;GNS/Acronis;Acronis Cyber Protect;49;kr/anvandare/manad;fran, exkl. moms antaget;https://www.gns.se/it-tjanster/acronis-cyber-protect/;Leverantorssignal.
2026-08-27;licens;Microsoft;Microsoft 365 Business Basic;66.91;kr/anvandare/manad;exkl. moms, arlig bindning;https://www.microsoft.com/sv-se/microsoft-365/business/microsoft-365-business-basic?activetab=pivot%3Aoverviewtab;Officiellt listpris Sverige.
2026-08-27;licens;Microsoft;Microsoft 365 Business Basic;80.29;kr/anvandare/manad;exkl. moms, manadlig bindning;https://www.microsoft.com/sv-se/microsoft-365/business/microsoft-365-business-basic?activetab=pivot%3Aoverviewtab;Officiellt listpris Sverige.
2026-08-27;licens;Google;Workspace Business Starter;76.50;kr/anvandare/manad;exkl. moms, arlig bindning;https://workspace.google.com/intl/sv/business/;Officiellt listpris Sverige.
2026-08-27;licens;Google;Workspace Business Standard;153;kr/anvandare/manad;exkl. moms, arlig bindning;https://workspace.google.com/intl/sv/business/;Officiellt listpris Sverige.
2026-08-27;licens;Google;Workspace Business Plus;240.20;kr/anvandare/manad;exkl. moms, arlig bindning;https://workspace.google.com/intl/sv/business/;Officiellt listpris Sverige.
2026-08-27;licens;Microsoft;Microsoft 365 Backup;0.15;USD/GB/manad;listpris;https://learn.microsoft.com/sv-se/microsoft-365/backup/backup-pricing?view=o365-worldwide;Officiell Microsoft-prismodell, valutakanslig.
2026-08-27;marknad;Find IT Consultants;Microsoft 365-konsult;750-1700;kr/timme;exkl. moms antaget;https://www.finditconsultants.com/sv/konsulenter/microsoft-365;Marknadsintervall for konsulter.
2026-08-27;marknad;Find IT Consultants;IT-konsult Sverige 2026;900-2100;kr/timme;exkl. moms antaget;https://www.finditconsultants.com/blog/it-konsultpriser-sverige-2026;Marknadsintervall for IT-konsulter.
2026-08-27;offentlig referens;Knowit/Kammarkollegiet;Ramavtal IT-konsult AO1 niva 1;492;kr/timme;takpris;https://www.knowit.se/business-portal/ramavtal/kammarkollegiet-it-konsulttjanster-resurskonsulter/taktimpriser/;Institutionell referens, inte retail SMB.
2026-08-27;offentlig referens;Knowit/Kammarkollegiet;Ramavtal IT-konsult AO1 niva 4;984;kr/timme;takpris;https://www.knowit.se/business-portal/ramavtal/kammarkollegiet-it-konsulttjanster-resurskonsulter/taktimpriser/;Institutionell referens, inte retail SMB.
2026-08-27;offentlig referens;Knowit/Kammarkollegiet;Ramavtal IT-konsult AO5 niva 4;1092;kr/timme;takpris;https://www.knowit.se/business-portal/ramavtal/kammarkollegiet-it-konsulttjanster-resurskonsulter/taktimpriser/;Institutionell referens, inte retail SMB.
2026-08-27;myndighet;Skatteverket;RUT-avdrag;50;procent av arbetskostnad;RUT;https://www.skatteverket.se/privat/fastigheterochbostad/rotarbeteochrutarbete/safungerarrutavdraget.html;Material, resor och administration ger inte RUT.
2026-08-27;myndighet;Skatteverket;IT-tjanster som kan ge RUT;se notering;regel;https://www.skatteverket.se/privat/fastigheterochbostad/rotochrutarbete/gerarbetetratttillrutavdrag.106.5c1163881590be297b53de7.html;Installera, reparera och underhalla data-/IT-utrustning i eller nara bostaden kan ge RUT.
2026-08-27;myndighet;Skatteverket;Fjarr-/telefonsupport;0;RUT;https://www.skatteverket.se/privat/etjansterochblanketter/svarpavanligafragor/rotochrutarbete/privatrotochrutarbetefaq/gertelefonsupportavdataochitutrustningratttillrutavdrag.5.361dc8c15312eff6fd24034.html;Telefon/e-post/fjarrsupport ger inte RUT.
2026-08-28;myndighet;Konsumentverket;Prisinformation till konsument;totalpris inkl. moms;regel;https://www.konsumentverket.se/marknadsratt-foretag/prisinformation-regler-for-foretag/;Huvudregel att totalpris inklusive moms anges vid marknadsforing till konsument.
2026-08-28;myndighet;Konsumentverket;Anlita hantverkare/skriftligt avtal;se notering;regel;https://www.konsumentverket.se/varor-och-tjanster/anlita-hantverkare/;Pris, arbete och tid bor finnas skriftligt.
2026-08-28;myndighet;Konsumentverket;For hogt pris/skalig debitering;se notering;regel;https://www.konsumentverket.se/varor-och-tjanster-process/hantverkaren-vill-ha-for-mycket-betalt/;Om pris inte avtalats ska konsumenten betala skaligt pris och har ratt till specificerad faktura.
2026-08-28;myndighet;Konsumentverket;Konsumenttjanstlagen;se notering;regel;https://www.konsumentverket.se/lagar/konsumenttjanstlagen-konsument/;Galler bland annat arbete pa losa saker, exempelvis reparation.
2026-08-27;myndighet;SCB;Supporttekniker IT lon;40300;kr/manad;bruttolon;https://www.statistikdatabasen.scb.se/sq/158955;Kostnadsankare, kontrollera aktuell tabellkolumn vid framtida uppdatering.
2026-08-27;myndighet;SCB;Natverks- och systemtekniker lon;48100;kr/manad;bruttolon;https://www.statistikdatabasen.scb.se/sq/158955;Kostnadsankare, kontrollera aktuell tabellkolumn vid framtida uppdatering.
2026-08-27;myndighet;Skatteverket;Arbetsgivaravgift 2026;31.42;procent;arbetsgivaravgift;https://www.skatteverket.se/foretag/arbetsgivare/arbetsgivaravgifterochskatteavdrag/arbetsgivaravgifter.4.233f91f71260075abe880002674.html;Normal arbetsgivaravgift.
